Product name,Product URL,price,rating,reviews
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-6,₹649.00,4.1 out of 5 stars,"3,779 ratings"
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-7,₹949.00,3.9 out of 5 stars,"6,310 ratings"
"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium - 30 bags/roll (Pack of 6)",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-8,₹339.00,4.3 out of 5 stars,"30,134 ratings"
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-9,₹214.00,3.7 out of 5 stars,"6,059 ratings"
Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-10,₹699.00,3.7 out of 5 stars,116 ratings
"EUME Propine Laptop Backpack | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" MacBook (Melange, 22L)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzM1NzcwNTgwNTgxMTQwOjE2Nzk0ODA4Mjc6c3BfbXRmOjIwMTIxOTcyMjYwNDk4OjowOjo&url=%2FEUME-Propine-Massager-Backpack-Charging%2Fdp%2FB07XG935R9%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679480827%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DAPBFC7AMQ4Q38,"₹3,499.00",4.1 out of 5 stars,45 ratings
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzM1NzcwNTgwNTgxMTQwOjE2Nzk0ODA4Mjc6c3BfbXRmOjIwMDkxMDg5MjQ2Nzk4OjowOjo&url=%2FHalf-Moon-Backpack-Luggage-Compartment%2Fdp%2FB09VCLZ3K4%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679480827%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,₹849.00,3.9 out of 5 stars,"2,344 ratings"
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-13,₹299.00,4.0 out of 5 stars,"18,019 ratings"
Boys' Vibgyor Attractive Featured Polyester Swimming/Side Bag Bag (Pink/Multicolour),https://www.amazon.in/VIBGYOR-Attractive-Featured-Pink-Swimming/dp/B07JPJT935/ref=sxin_25_lscx_w_sp_ia?content-id=amzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc%3Aamzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07JPJT935&pd_rd_r=d75a250b-f2f4-4022-91c3-77299ba2e806&pd_rd_w=KRPpa&pd_rd_wg=P9A15&pf_rd_p=6be6952b-4534-4ca8-baf7-eb1ffc7503fc&pf_rd_r=5X2TZV6E5GRMHN246R67&qid=1679480827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-048da096-9aef-4913-b917-aeb227ff179a,₹546.00,4.0 out of 5 stars,7 ratings
"R H LIFESTYLE Pop It Sling Bag Purse for Girls, Push Bubble Popping Pops Backpack Handbag",https://www.amazon.in/LIFESTYLE-Bubble-Popping-Backpack-Handbag/dp/B09MQTLY5T/ref=sxin_25_lscx_w_sp_ia?content-id=amzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc%3Aamzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09MQTLY5T&pd_rd_r=d75a250b-f2f4-4022-91c3-77299ba2e806&pd_rd_w=KRPpa&pd_rd_wg=P9A15&pf_rd_p=6be6952b-4534-4ca8-baf7-eb1ffc7503fc&pf_rd_r=5X2TZV6E5GRMHN246R67&qid=1679480827&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-048da096-9aef-4913-b917-aeb227ff179a,₹599.00,4.3 out of 5 stars,5 ratings
